INFO 2025-03-13 14:24:04,841 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-03-13 14:24:04,842 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2025-03-13 14:24:04,902 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 8985
INFO 2025-03-13 14:24:04,902 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-03-13 14:24:04,907 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-03-13 14:24:05,005 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-03-13 14:24:05,005 basehttp "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-03-13 14:24:05,005 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-03-13 14:24:05,006 basehttp "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
INFO 2025-03-13 14:24:05,007 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-03-13 14:24:36,077 autoreload C:\Users\tefba\Desktop\OverBrand\EventEz\backend\EventEzBackend\apps\core\admin.py changed, reloading.
INFO 2025-03-13 14:24:36,857 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:29:40,658 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:29:47,570 basehttp "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 43716
INFO 2025-03-13 14:29:47,601 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-03-13 14:29:47,601 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-03-13 14:29:47,601 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-03-13 14:29:47,602 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
